feature,gain
aa_F,0.049594
rel_sasa_assembly,0.03015
esm_16,0.017793
aa_K,0.017509
esm_19,0.017416
esm_3,0.014578
bfactor_z,0.013553
esm_10,0.013109
rel_sasa,0.012696
hydrophobicity,0.012568
esm_56,0.012139
esm_72,0.011602
esm_2,0.011207
volume,0.011053
esm_20,0.010874
aa_E,0.010867
esm_31,0.010624
esm_13,0.010539
esm_124,0.010369
esm_29,0.010095
esm_11,0.009854
esm_35,0.009777
protrusion_z,0.00971
esm_94,0.009243
esm_23,0.008876
nbhd_rel_sasa,0.008771
esm_108,0.008661
esm_33,0.008449
nbhd_protrusion_z,0.007684
esm_50,0.007602
esm_22,0.007592
nbhd_charge,0.007561
esm_12,0.007392
esm_86,0.007074
esm_8,0.007034
esm_85,0.006921
esm_38,0.006845
esm_9,0.006741
esm_91,0.006712
esm_99,0.006675
esm_24,0.006606
esm_39,0.006516
neighbours_12,0.006426
esm_88,0.006379
buried_by_assembly,0.006246
esm_69,0.006246
esm_65,0.006168
aa_Y,0.006033
esm_68,0.006026
esm_44,0.006009
esm_34,0.005986
esm_67,0.00596
esm_58,0.005913
esm_17,0.00588
esm_28,0.005823
esm_15,0.005688
esm_7,0.00556
esm_42,0.005495
esm_14,0.005477
esm_54,0.005469
esm_62,0.00543
esm_6,0.005412
esm_125,0.005398
esm_1,0.005361
esm_97,0.005361
esm_26,0.005351
esm_59,0.005335
esm_21,0.005317
esm_105,0.005241
esm_98,0.00523
esm_63,0.005198
esm_113,0.005186
esm_48,0.005175
esm_0,0.005171
esm_75,0.005154
esm_95,0.005137
esm_32,0.005135
esm_18,0.005113
esm_61,0.005095
esm_40,0.005054
aa_G,0.004997
esm_101,0.004948
esm_60,0.004898
esm_92,0.004898
esm_116,0.004892
esm_74,0.004877
esm_52,0.00485
esm_71,0.004845
esm_76,0.004822
aa_L,0.004816
esm_46,0.004801
esm_90,0.004797
esm_27,0.004794
esm_78,0.004734
esm_84,0.00471
esm_49,0.004689
esm_114,0.004677
esm_82,0.004668
esm_126,0.004649
esm_87,0.004612
esm_119,0.00461
esm_36,0.004529
esm_37,0.004511
esm_70,0.004504
esm_112,0.004495
esm_120,0.004478
esm_104,0.004476
esm_83,0.00442
esm_109,0.004397
esm_73,0.004363
esm_81,0.004361
esm_66,0.004345
esm_107,0.004334
esm_25,0.004334
esm_122,0.004308
esm_30,0.004302
esm_51,0.00429
esm_106,0.004237
esm_102,0.004234
esm_41,0.004157
nbhd_hydrophobicity,0.004156
esm_89,0.004136
esm_43,0.004056
esm_4,0.004015
esm_118,0.004012
esm_64,0.003993
aa_D,0.003981
esm_121,0.003963
esm_57,0.003897
charge,0.003861
esm_80,0.003854
esm_110,0.003846
esm_55,0.003811
neighbours_8,0.003796
esm_79,0.003791
esm_77,0.003739
esm_123,0.003706
esm_115,0.003624
esm_103,0.0036
esm_111,0.003598
esm_93,0.003592
esm_127,0.003591
esm_47,0.003587
esm_45,0.00357
esm_5,0.003518
nbhd_glycan_distance,0.00327
esm_53,0.003239
esm_96,0.003198
esm_100,0.003154
esm_117,0.003138
glycan_distance,0.00312
aa_V,0.002972
aa_T,0.002886
aa_N,0.002458
aa_Q,0.001348
aa_W,0.0
aa_C,0.0
aa_P,0.0
aa_R,0.0
aa_S,0.0
aa_I,0.0
aa_H,0.0
aa_M,0.0
aa_A,0.0
