feature,gain
rel_sasa_assembly,0.070349
bfactor_z,0.053215
aa_F,0.042932
aa_W,0.040788
aa_Q,0.039898
aa_E,0.036279
nbhd_rel_sasa,0.033706
aa_H,0.033621
buried_by_assembly,0.033423
rel_sasa,0.031371
aa_S,0.03047
hydrophobicity,0.02952
volume,0.029114
protrusion_z,0.028746
nbhd_charge,0.02852
nbhd_protrusion_z,0.027262
charge,0.025101
aa_G,0.02506
aa_P,0.025012
nbhd_hydrophobicity,0.024788
aa_L,0.024301
aa_V,0.024279
neighbours_12,0.023908
aa_D,0.023221
aa_T,0.022325
neighbours_8,0.020933
nbhd_glycan_distance,0.020924
aa_Y,0.020809
glycan_distance,0.019797
aa_N,0.019788
aa_I,0.019004
aa_K,0.01822
aa_R,0.017517
aa_A,0.014453
aa_C,0.01192
aa_M,0.009423
