variant,label_set,split,scorer,auprc,precision@20,mcc,chains,residues,positive_rate,threshold,n_features,best_iteration,esm_components
esm_union,chain,val,score,0.3887,0.2615,0.3015,109.0,33990.0,0.0529,0.7548,100,530,64
esm_union,chain,val,rel_sasa_assembly,0.1157,0.1119,0.1299,109.0,33990.0,0.0529,0.7548,100,530,64
esm_union,chain,val,protrusion,0.0757,0.0266,-0.0168,109.0,33990.0,0.0529,0.7548,100,530,64
esm_union,union,val,score,0.459,0.3954,0.284,109.0,33990.0,0.1019,0.7548,100,530,64
esm_union,union,val,rel_sasa_assembly,0.1716,0.1743,0.1696,109.0,33990.0,0.1019,0.7548,100,530,64
esm_union,union,val,protrusion,0.1129,0.0284,0.0518,109.0,33990.0,0.1019,0.7548,100,530,64
esm_union,chain,test_group2,score,0.3427,0.2949,0.1666,234.0,68297.0,0.0516,0.7548,100,530,64
esm_union,chain,test_group2,rel_sasa_assembly,0.1315,0.109,0.12,234.0,68297.0,0.0516,0.7548,100,530,64
esm_union,chain,test_group2,protrusion,0.0938,0.035,-0.0116,234.0,68297.0,0.0516,0.7548,100,530,64
esm_union,union,test_group2,score,0.3563,0.3235,0.2657,234.0,68297.0,0.06,0.7548,100,530,64
esm_union,union,test_group2,rel_sasa_assembly,0.1459,0.1256,0.1276,234.0,68297.0,0.06,0.7548,100,530,64
esm_union,union,test_group2,protrusion,0.1075,0.0421,-0.0041,234.0,68297.0,0.06,0.7548,100,530,64
esm_union,chain,test_B,score,0.1463,0.1224,0.1178,38.0,10987.0,0.0695,0.7548,100,530,64
esm_union,chain,test_B,rel_sasa_assembly,0.1461,0.1539,0.1325,38.0,10987.0,0.0695,0.7548,100,530,64
esm_union,chain,test_B,protrusion,0.0947,0.0408,-0.0045,38.0,10987.0,0.0695,0.7548,100,530,64
esm_union,union,test_B,score,0.1772,0.1421,0.093,38.0,10987.0,0.1001,0.7548,100,530,64
esm_union,union,test_B,rel_sasa_assembly,0.1826,0.1987,0.162,38.0,10987.0,0.1001,0.7548,100,530,64
esm_union,union,test_B,protrusion,0.1224,0.0447,-0.0292,38.0,10987.0,0.1001,0.7548,100,530,64
esm_weighted,chain,val,score,0.4058,0.2711,0.3049,109.0,33990.0,0.0529,0.9024,100,711,64
esm_weighted,chain,val,rel_sasa_assembly,0.1157,0.1119,0.1299,109.0,33990.0,0.0529,0.9024,100,711,64
esm_weighted,chain,val,protrusion,0.0757,0.0266,-0.0168,109.0,33990.0,0.0529,0.9024,100,711,64
esm_weighted,union,val,score,0.4633,0.395,0.2908,109.0,33990.0,0.1019,0.9024,100,711,64
esm_weighted,union,val,rel_sasa_assembly,0.1716,0.1743,0.1696,109.0,33990.0,0.1019,0.9024,100,711,64
esm_weighted,union,val,protrusion,0.1129,0.0284,0.0518,109.0,33990.0,0.1019,0.9024,100,711,64
esm_weighted,chain,test_group2,score,0.3789,0.315,0.1618,234.0,68297.0,0.0516,0.9024,100,711,64
esm_weighted,chain,test_group2,rel_sasa_assembly,0.1315,0.109,0.12,234.0,68297.0,0.0516,0.9024,100,711,64
